timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:55:19.527, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:20.533, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:21.533, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:22.533, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:23.534, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:24.534, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:25.534, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:26.534, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:27.534, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:28.534, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:29.535, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:30.535, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:31.535, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:32.535, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:33.535, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:34.536, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:35.536, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:36.536, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:37.536, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:38.536, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:39.536, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:40.537, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:41.537, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:42.537, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:43.537, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:44.537, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:45.537, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:46.538, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:55:47.538, 0, 0 %, 0 %, 1 MiB, 46068 MiB
